term,mean_tfidf
на,0.043084888655670464
для,0.032754352904438046
не,0.0318549100896996
поиска,0.029040001081077217
для поиска,0.028626281231152163
пропавших найденных,0.0286081549322349
пропавших,0.0286081549322349
найденных,0.0286081549322349
или,0.02588736414337048
собака,0.02458367213766465
пожалуйста,0.022772429671784264
кошка,0.020589888623308707
нашли,0.020438440743106464
очень,0.020155465594894145
район,0.019387128617254515
репост,0.019292938412464593
телефон,0.019287573042436577
имя,0.018961648344227085
информация,0.01891844821001259
питомца,0.01872780561641741
здесь,0.018691428856984063
максимальный,0.01861230648464723
максимальный репост,0.01861230648464723
объявление,0.018604584394602518
адрес,0.0185877226539038
потеряли,0.018512592185456388
разместите,0.01850432511767401
или нашли,0.01844930954859237
пожалуйста максимальный,0.018444634323540723
подробная информация,0.018436661381736656
