domain,post_id,text
poterjashkansk,2095257,"📍ул. Вертковская, Ленинский район
⚠ОБНОВЛЕНО: утром видели в районе ост. Дюканова, может двигаться в сторону г. Обь

16.12 ночью/утром с территории частного дома сбежал кобель, кличка Игорь.
Ростом по колено, полностью белый, в коричневом кожаном ошейнике. В ухе бирка с номером ""100"". Не агрессивный.
Пристроен несколько дней назад - местности не знает, боится, в руки скорее всего не пойдет. Всю жизнь жил на территории частного дома, в городе будет вести себя непредсказуемо.
Пожалуйста, если увидите его - попытайтесь сфотографировать и позвоните +79139468977 Мария
💬 Автор: [id36034959|Мария Сафрошкина] 

#пропаласобака2025@poterjashkansk
#Ленинский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2096174,
poterjashkansk,2096171,"📍ул. Семьи Шамшиных / Орджоникидзе, Центральный район
Бегает маленький гладкошерстный кобель прямо по проезжей части, кидается под машины, оглядывается по сторонам как будто кого-то ищет.
Чей? 
На улице капец как холодно, замерзнет парень, в руки не дался
💬 Автор: [id87412900|Ирина Алдиева] 

#найденасобака2025@poterjashkansk
#Центральный@poterjashkansk 
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2096145,"#мотиватор@zoohelpnsk
#потеряшканск 
#помощьбездомнымживотным 
#poterjashkans
#poterjashkansk
#зоопомощь 
#zoohelpnsk
#помощьживотнымновосибирск 
#зоопомощьнск"
poterjashkansk,2096119,"📍СНТ Витязь, с. Криводановка
Помогите найти собаку🙏 Пропал утром 23 ноября
📌 Зовут Мотя (откликается)
• Возраст 1 год и 4 месяца (1,4)
• По размеру не крупный
• Возможно прибился к стае
Пожалуйста, присмотритесь, если увидели стаю, или может быть увидели похожую собаку у другого человека, может быть это и есть Мотя..
(Если пес найдется, в комментариях будет ответ)
Его очень ждут дома и волнуются..
Также вы можете помочь информационно, расклеить объявления, скинуть в группы, распространить между знакомыми..

Контакты для связи:
• 89231233439 Оксана
• 89955701322 Ольга
• 89137055852 Софья
💬Автор: [id810736858|Ольга Николаевна] 

#Криводановка@poterjashkansk
#НСО@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2096117,"📍ул. Воинская, Октябрьский район
На трубах появился котик. Думала, что он из частного сектора, но вижу его всегда только на трубах. Сейчас он пытается на них согреться, плачет, просится к людям. Контактный, но в руки не идёт, не кастрирован. Скорее всего был домашним. 
В морозы ему не выжить😢! 
Мне некуда его забирать совсем.
Помогите найти старых или новых хозяев!
Писать на макс, телеграмм 89513990987
💬 Автор: [id88168724|Олеся Филонова] 

#Октябрьский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2096104,"📍ул. Богдана Хмельницкого, Калининский район
Увидел кота или кошку. Подойти не получилось. Убежала.
Может, кто-то ищет?
💬 Автор: [id381423345|Егор Астахов] 

#найденакошка2025@poterjashkansk
#Калининский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2096103,
poterjashkansk,2096067,"📍Гусинобродское шоссе, Дзержинский район
Пропала собака. Той терьер, кобель, 4 годика. 
23 ноября в районе 8 утра выбежал из машины около ТЦ Дружба и убежал в неизвестном направлении. Был одет в мед.воротник (как на фото) и в зелёную курточку. Кличка Качок.
Если владеете какой-либо информацией, пожалуйста, позвоните или напишите 🙏🙏🙏
89139451899 Алексей
89134737082 Екатерина
89134814863 Олег
(Звонки+Ватсапп+Телеграм, как удобно)
💬Автор: [id1066940256|Екатерина Петрова] 

#Дзержинский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2096046,"📍г. Болотное
Продолжаю поиски моей Луны. Пропала город Болотное, прошу помощи о распространении поста по ближайшим деревням, селам в сторону Кемеровской области и Новосибирска. 
Вознаграждение 40000р 
Тел 89516134704
💬Автор: [id716318406|Anastasia Prosolova] 

#Болотное@poterjashkansk 
#НСО@poterjashkansk 
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
